および,-100,-100,-100,接続詞,*,*,*,*,*,*,*,*
そのため,-1000,-1000,-10000,接続詞,*,*,*,*,*,*,*,*
いくつか,-10000,-10000,-10000,接続詞,*,*,*,*,*,*,*,*
1つ,-1000,-1000,-10000,名詞,数,*,*,*,*,1つ,１つ,一つ
2つ,-1000,-1000,-10000,名詞,数,*,*,*,*,2つ,２つ,二つ
3つ,-1000,-1000,-10000,名詞,数,*,*,*,*,3つ,３つ,三つ
群集,-1,-1,-1,名詞,一般,*,*,*,*,群集,ぐんしゅう,グンシュウ
送粉,-1,-1,-1,名詞,一般,*,*,*,*,送粉,そうふん,ソウフン
時間,-1000,-1000,-1000,名詞,一般,*,*,*,*,時間,じかん,ジカン
AND,-1,-1,-1,接続詞,*,*,*,*,*,AND,and,*
of,-1,-1,-1,接続詞,*,*,*,*,*,of,OF,*
−1,-1000,-1000,-10000,名詞,数,*,*,*,*,−1,*,*
2種,-1,-1,-1,名詞,一般,*,*,*,*,2種,にしゅ,*
3種,-1,-1,-1,名詞,一般,*,*,*,*,3種,さんしゅ,*
4種,-1,-1,-1,名詞,一般,*,*,*,*,4種,よんしゅ,*
5種,-1,-1,-1,名詞,一般,*,*,*,*,5種,ごしゅ,*
10種,-1,-1,-1,名詞,一般,*,*,*,*,10種,じゅうしゅ,*
多種,-1,-1,-1,名詞,一般,*,*,*,*,多種,たしゅ,*
少数種,-1,-1,-1,名詞,一般,*,*,*,*,少数種,しょうすうしゅ,*
食物網,-1,-1,-1,名詞,一般,*,*,*,*,食物網,しょくもつもう,*
種,-1,-1,-1,名詞,一般,*,*,*,*,種,しゅ,*
，,-1,-1,-1,記号,読点,*,*,*,*,*,*,*
内生菌,-1,-1,-1,名詞,一般,*,*,*,*,内生菌,ないせいきん,*
菌根菌,-1,-1,-1,名詞,一般,*,*,*,*,菌根菌,きんこんきん,*